Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/28/2021,04/29/2021,CHEVRON 0042060,Gas,Sale,-7.00,
04/26/2021,04/27/2021,CHEVRON 0042060,Gas,Sale,-7.00,
04/26/2021,04/26/2021,Payment Thank You-Mobile,,Payment,220.27,
04/23/2021,04/25/2021,CHEVRON 0042060,Gas,Sale,-7.00,
04/22/2021,04/23/2021,SEPHORA.COM,Shopping,Sale,-54.35,
04/22/2021,04/23/2021,SEPHORA.COM,Shopping,Sale,-41.94,
04/22/2021,04/23/2021,SEPHORA.COM,Shopping,Sale,-46.23,
04/21/2021,04/22/2021,CHEVRON 0042060,Gas,Sale,-7.00,
04/20/2021,04/22/2021,FL LICENSE/TAG/ASMT,Bills & Utilities,Sale,-56.75,
04/20/2021,04/21/2021,CHEVRON 0042060,Gas,Sale,-7.00,
04/20/2021,04/20/2021,Payment Thank You-Mobile,,Payment,348.07,
04/18/2021,04/19/2021,PUBLIX #690,Groceries,Sale,-9.98,
04/17/2021,04/19/2021,SAMSCLUB.COM,Shopping,Sale,-45.00,
04/18/2021,04/19/2021,CHEVRON 0042060,Gas,Sale,-7.00,
04/18/2021,04/19/2021,Amazon.com*EJ40K3043,Shopping,Sale,-5.83,
04/17/2021,04/18/2021,TRADER JOE'S #764 QPS,Groceries,Sale,-47.99,
04/17/2021,04/18/2021,Mint Mobile,Bills & Utilities,Sale,-47.33,
04/16/2021,04/18/2021,SQ *DA KINE POKE GVILLE,Food & Drink,Sale,-29.96,
04/17/2021,04/18/2021,BP#8879462SUNSHINE #278,Gas,Sale,-7.18,
04/16/2021,04/18/2021,WWW COSTCO COM,Shopping,Sale,-22.98,
04/16/2021,04/18/2021,CHEVRON 0042060,Gas,Sale,-7.00,
04/17/2021,04/18/2021,SAMS CLUB #8155,Shopping,Sale,-82.20,
04/17/2021,04/18/2021,SAMS CLUB #8155,Gas,Sale,-21.41,
04/14/2021,04/15/2021,CHEVRON 0042060,Gas,Sale,-7.00,
04/14/2021,04/15/2021,CHEVRON 0042060,Gas,Sale,-7.21,
04/13/2021,04/14/2021,Payment Thank You-Mobile,,Payment,341.26,
04/12/2021,04/13/2021,AMZN Mktp US*0184H53H3,Shopping,Sale,-51.42,
04/12/2021,04/13/2021,AMZN Mktp US*XH1JC4PV3,Shopping,Sale,-26.63,
04/12/2021,04/13/2021,CHEVRON 0042060,Gas,Sale,-7.00,
04/10/2021,04/12/2021,SHELL OIL 12479546009,Gas,Sale,-6.95,
04/10/2021,04/12/2021,PUBLIX #306,Groceries,Sale,-4.28,
04/10/2021,04/12/2021,LOTTE PLAZA ORLANDO,Groceries,Sale,-150.69,
04/10/2021,04/12/2021,MCDONALD'S F23584,Food & Drink,Sale,-2.12,
04/10/2021,04/12/2021,SUNOCO 0160906400,Gas,Sale,-21.21,
04/10/2021,04/11/2021,COCO SPOON LLC,Food & Drink,Sale,-17.63,
04/08/2021,04/11/2021,SHELL OIL 12479546009,Gas,Sale,-6.95,
04/11/2021,04/11/2021,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
04/07/2021,04/08/2021,CHEVRON 0042060,Gas,Sale,-15.16,
04/06/2021,04/07/2021,CHEVRON 0042060,Gas,Sale,-7.00,
04/05/2021,04/05/2021,Payment Thank You - Web,,Payment,292.84,
04/03/2021,04/05/2021,WAWA 5384     00053843,Gas,Sale,-6.22,
04/03/2021,04/05/2021,IRONWOOD GOLF COURSE,Entertainment,Sale,-8.00,
04/02/2021,04/04/2021,CHEVRON 0042060,Gas,Sale,-15.21,
04/02/2021,04/04/2021,CHEVRON 0042060,Gas,Sale,-7.00,
04/03/2021,04/04/2021,SAMS CLUB #8155,Shopping,Sale,-164.82,
04/03/2021,04/04/2021,SAMS CLUB #8155,Shopping,Sale,-1.61,
