Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/04/2021,03/05/2021,CHEVRON 0042060,Gas,Sale,-7.00,
03/03/2021,03/04/2021,CHEVRON 0042060,Gas,Sale,-15.18,
03/03/2021,03/04/2021,CHEVRON 0042060,Gas,Sale,-7.00,
02/28/2021,03/02/2021,IRONWOOD GOLF COURSE,Entertainment,Sale,-8.00,
02/28/2021,03/02/2021,GK FOOD MARKET LLC,Groceries,Sale,-47.14,
03/01/2021,03/02/2021,CHEVRON 0042060,Gas,Sale,-7.00,
02/25/2021,02/28/2021,SHELL OIL 12479546009,Gas,Sale,-15.25,
02/25/2021,02/28/2021,SHELL OIL 12479546009,Gas,Sale,-6.95,
02/27/2021,02/28/2021,CHEVRON 0042060,Gas,Sale,-7.00,
02/24/2021,02/25/2021,CHEVRON 0042060,Gas,Sale,-7.00,
02/21/2021,02/23/2021,39TH CITGO EXPRESS,Gas,Sale,-6.81,
02/21/2021,02/23/2021,IRONWOOD GOLF COURSE,Entertainment,Sale,-8.00,
02/21/2021,02/21/2021,WORLD OF BEER TIOGA,Food & Drink,Sale,-12.17,
02/19/2021,02/21/2021,CHEVRON 0042060,Gas,Sale,-7.00,
02/19/2021,02/21/2021,PUBLIX #306,Groceries,Sale,-87.12,
02/19/2021,02/21/2021,CHEVRON 0042060,Gas,Sale,-11.58,
02/18/2021,02/21/2021,SHELL OIL 12479947009,Gas,Sale,-6.95,
02/16/2021,02/17/2021,CHEVRON 0042060,Gas,Sale,-7.00,
02/14/2021,02/16/2021,SHELL OIL 12479546009,Gas,Sale,-6.95,
02/15/2021,02/15/2021,AMZN Mktp US*H31V86JG3,Shopping,Sale,-38.00,
02/13/2021,02/15/2021,MARATHON PETRO115485,Gas,Sale,-15.16,
02/13/2021,02/14/2021,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
02/12/2021,02/14/2021,CHEVRON 0042060,Gas,Sale,-7.00,
02/10/2021,02/11/2021,CHEVRON 0042060,Gas,Sale,-7.00,
02/11/2021,02/11/2021,Offer:Starbucks (Corpo,Fees & Adjustments,Adjustment,0.50,
